"Url","Name","ItemCount","Status"
"/sites/msteams-E/Shared Documents/E/REALM","REALM","6"
"/sites/msteams-E/Shared Documents/E/The Marshes","The Marshes","6"
"/sites/msteams-E/Shared Documents/E/S?dert?lje Centrumf?rening","S?dert?lje Centrumf?rening","3"
"/sites/msteams-E/Shared Documents/E/Stockholm INFO","Stockholm INFO","3"
"/sites/msteams-E/Shared Documents/E/Torsby Alltid Tillsammans","Torsby Alltid Tillsammans","3"
"/sites/msteams-E/Shared Documents/E/Unibail Rodamco Westfield","Unibail Rodamco Westfield","2"
"/sites/msteams-E/Shared Documents/E/Elgin","Elgin","2"
"/sites/msteams-E/Shared Documents/E/Allgo","Allgo","2"
"/sites/msteams-E/Shared Documents/E/Bubbles Incentive","Bubbles Incentive","2"
"/sites/msteams-E/Shared Documents/E/3i4im","3i4im","9"
"/sites/msteams-E/Shared Documents/E/Jigsaw","Jigsaw","8"
"/sites/msteams-E/Shared Documents/E/Skellefte?","Skellefte?","3"
"/sites/msteams-E/Shared Documents/E/Ludvika","Ludvika","2"
"/sites/msteams-E/Shared Documents/E/CC Twenty (Italia)","CC Twenty (Italia)","2"
"/sites/msteams-E/Shared Documents/E/Ume?","Ume?","2"
"/sites/msteams-E/Shared Documents/E/Vimpeln (Alings?s)","Vimpeln (Alings?s)","3"
"/sites/msteams-E/Shared Documents/E/Causeway Coast and Glens","Causeway Coast and Glens","2"
"/sites/msteams-E/Shared Documents/E/TBS Europe","TBS Europe","7"
"/sites/msteams-E/Shared Documents/E/Client 1","Client 1","2"
"/sites/msteams-E/Shared Documents/E/Tran?s","Tran?s","3"
"/sites/msteams-E/Shared Documents/E/Shop in Kortrijk","Shop in Kortrijk","6"
"/sites/msteams-E/Shared Documents/E/Edge (now Opia)","Edge (now Opia)","6"
"/sites/msteams-E/Shared Documents/E/Salisbury","Salisbury","2"
"/sites/msteams-E/Shared Documents/E/Epipoli","Epipoli","2"
"/sites/msteams-E/Shared Documents/E/EML Rewards","EML Rewards","2"
"/sites/msteams-E/Shared Documents/E/Paygoo","Paygoo","7"
"/sites/msteams-E/Shared Documents/E/Gentalia","Gentalia","6"
"/sites/msteams-E/Shared Documents/E/ScalaPay","ScalaPay","2"
"/sites/msteams-E/Shared Documents/E/Churchill Square","Churchill Square","6"
"/sites/msteams-E/Shared Documents/E/Shawlands","Shawlands","2"
"/sites/msteams-E/Shared Documents/E/Visa","Visa","1"
"/sites/msteams-E/Shared Documents/E/The Liberty","The Liberty","6"
"/sites/msteams-E/Shared Documents/E/BINs and Issuers","BINs and Issuers","10"
"/sites/msteams-E/Shared Documents/E/Sundsvall - KB Lyckan (DI?S)","Sundsvall - KB Lyckan (DI?S)","3"
"/sites/msteams-E/Shared Documents/E/The Gyle","The Gyle","6"
"/sites/msteams-E/Shared Documents/E/V?rnamo","V?rnamo","3"
"/sites/msteams-E/Shared Documents/E/OLD - Present.se","OLD - Present.se","2"
"/sites/msteams-E/Shared Documents/E/T1 Mall of Tallinn (Estonia)","T1 Mall of Tallinn (Estonia)","2"
"/sites/msteams-E/Shared Documents/E/Fortuna","Fortuna","6"
"/sites/msteams-E/Shared Documents/E/Uddevalla","Uddevalla","2"
"/sites/msteams-E/Shared Documents/E/Leicester","Leicester","4"
"/sites/msteams-E/Shared Documents/E/?stersund Destination (fd ?stersund Handel)","?stersund Destination (fd ?stersund Handel)","2"
"/sites/msteams-E/Shared Documents/E/Stockholm Quality Outlet Barkarby Newsec","Stockholm Quality Outlet Barkarby Newsec","3"
"/sites/msteams-E/Shared Documents/E/Klepiere - Belgium","Klepiere - Belgium","6"
"/sites/msteams-E/Shared Documents/E/Etsy","Etsy","6"
"/sites/msteams-E/Shared Documents/E/V?ster?s Citysamverkan","V?ster?s Citysamverkan","4"
"/sites/msteams-E/Shared Documents/E/SKS","SKS","5"
"/sites/msteams-E/Shared Documents/E/Presend Intern","Presend Intern","12"
"/sites/msteams-E/Shared Documents/E/Wijnegem","Wijnegem","7"
"/sites/msteams-E/Shared Documents/E/Touchwood Shopping Centre","Touchwood Shopping Centre","3"
"/sites/msteams-E/Shared Documents/E/Nordby Shopping","Nordby Shopping","3"
"/sites/msteams-E/Shared Documents/E/Stora Saluhallen G?teborg - G?teborgs Saluhall","Stora Saluhallen G?teborg - G?teborgs Saluhall","3"
"/sites/msteams-E/Shared Documents/E/S?derhamns Cityf?rening","S?derhamns Cityf?rening","2"
"/sites/msteams-E/Shared Documents/E/Ulricehamn","Ulricehamn","2"
"/sites/msteams-E/Shared Documents/E/Redbrick Mill","Redbrick Mill","6"
"/sites/msteams-E/Shared Documents/E/Nyk?ping","Nyk?ping","3"
"/sites/msteams-E/Shared Documents/E/The Centre","The Centre","6"
"/sites/msteams-E/Shared Documents/E/Alegro","Alegro","8"
"/sites/msteams-E/Shared Documents/E/01 - New Client Template","01 - New Client Template","7"
"/sites/msteams-E/Shared Documents/E/CastleCourt","CastleCourt","2"
"/sites/msteams-E/Shared Documents/E/Regent Street","Regent Street","6"
"/sites/msteams-E/Shared Documents/E/Visby","Visby","2"
"/sites/msteams-E/Shared Documents/E/Drake Circus","Drake Circus","6"
"/sites/msteams-E/Shared Documents/E/Paddy Power","Paddy Power","1"
"/sites/msteams-E/Shared Documents/E/Gloucester Quays","Gloucester Quays","6"
"/sites/msteams-E/Shared Documents/E/Golden Square","Golden Square","6"
"/sites/msteams-E/Shared Documents/E/Boots","Boots","6"
"/sites/msteams-E/Shared Documents/E/Unibail-Rodamco","Unibail-Rodamco","3"
"/sites/msteams-E/Shared Documents/E/Lowry Outlet","Lowry Outlet","6"
"/sites/msteams-E/Shared Documents/E/E","E","180"
"/sites/msteams-E/Shared Documents/E/Customate LTD","Customate LTD","1"
"/sites/msteams-E/Shared Documents/E/Abbey Centre","Abbey Centre","6"
"/sites/msteams-E/Shared Documents/E/Mylly (Finland)","Mylly (Finland)","2"
"/sites/msteams-E/Shared Documents/E/West End (Scotland)","West End (Scotland)","2"
"/sites/msteams-E/Shared Documents/E/Swirl","Swirl","2"
"/sites/msteams-E/Shared Documents/E/Marlowes","Marlowes","6"
"/sites/msteams-E/Shared Documents/E/Victoria Square","Victoria Square","6"
"/sites/msteams-E/Shared Documents/E/Liverpool FC","Liverpool FC","6"
"/sites/msteams-E/Shared Documents/E/Trollh?ttan Centrum AB","Trollh?ttan Centrum AB","2"
"/sites/msteams-U/Shared Documents/U/Client 1","Client 1","2"
